TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1553501418232	272.676208	14.804977	-28.697979	0.998078	0.000000	0.000000	-0.061976	img_0_0_1553501418856413200.png;img_1_1_1553501418866202200.png
1553501418649	274.426788	15.768205	-28.650579	0.998077	0.000000	0.000000	-0.061985	img_0_0_1553501419276211000.png;img_1_1_1553501419283509400.png
1553501419027	275.998169	16.634975	-28.610565	0.998077	0.000000	0.000000	-0.061987	img_0_0_1553501419654915100.png;img_1_1_1553501419661607200.png
1553501419408	277.567657	17.502573	-28.575659	0.998077	-0.000000	0.000000	-0.061988	img_0_0_1553501420034798700.png;img_1_1_1553501420042882300.png
1553501419789	279.123047	18.364183	-28.560635	0.998077	-0.000000	-0.000000	-0.061988	img_0_0_1553501420417754800.png;img_1_1_1553501420425754800.png
1553501420170	280.664185	19.219885	-28.585243	0.998077	-0.000000	-0.000000	-0.061988	img_0_0_1553501420796448300.png;img_1_1_1553501420805280200.png
1553501420551	282.191772	20.069757	-28.662548	0.998077	-0.000000	-0.000000	-0.061988	img_0_0_1553501421177107900.png;img_1_1_1553501421185982000.png
1553501420920	283.658264	20.887375	-28.786068	0.998077	-0.000000	-0.000000	-0.061988	img_0_0_1553501421545940100.png;img_1_1_1553501421555601100.png
1553501421301	285.159546	21.725998	-28.962048	0.998077	-0.000000	-0.000000	-0.061988	img_0_0_1553501421928206200.png;img_1_1_1553501421935814900.png
1553501421688	286.670990	22.572092	-29.188526	0.998077	-0.000000	-0.000000	-0.061988	img_0_0_1553501422315801800.png;img_1_1_1553501422324687200.png
1553501422069	288.146118	23.399490	-29.455858	0.998077	-0.000000	-0.000000	-0.061988	img_0_0_1553501422697550900.png;img_1_1_1553501422704239300.png
1553501422450	289.608734	24.221430	-29.762293	0.998077	-0.000000	-0.000000	-0.061988	img_0_0_1553501423076548300.png;img_1_1_1553501423085397300.png
1553501422861	291.172607	25.102051	-30.120195	0.998070	-0.000000	-0.000000	-0.062098	img_0_0_1553501423490310900.png;img_1_1_1553501423497791000.png
1553501423290	292.789825	26.014591	-30.515249	0.997287	-0.001128	0.000079	-0.073600	img_0_0_1553501423919125900.png;img_1_1_1553501423926920100.png
1553501423695	294.302704	26.866863	-30.898546	0.995656	-0.000554	0.000034	-0.093103	img_0_0_1553501424326315500.png;img_1_1_1553501424333375700.png
